Player,PlayerLine,PlayerLine
AGAMEMNON,Or,3
AGAMEMNON,Whats,3
AGAMEMNON,A,2
AGAMEMNON,Are,2
AGAMEMNON,As,2
AGAMEMNON,Do,2
AGAMEMNON,Hath,2
AGAMEMNON,Is,2
AGAMEMNON,Not,2
AGAMEMNON,SCENE,2
AGAMEMNON,Speak,2
AGAMEMNON,Than,2
AGAMEMNON,This,2
AGAMEMNON,Well,2
AGAMEMNON,Why,2
AJAX,I,8
AJAX,Thou,5
AJAX,A,4
AJAX,If,4
AJAX,Beating,3
AJAX,Enter,3
AJAX,An,2
AJAX,Can,2
AJAX,Do,2
AJAX,Exit,2
AJAX,Great,2
AJAX,Ill,2
AJAX,No,2
AJAX,O,2
AJAX,Thersites,2
AJAX,Troilus,2
AJAX,What,2
AJAX,You,2
ALBANY,The,8
ALBANY,To,6
ALBANY,A,5
ALBANY,And,5
ALBANY,Enter,5
ALBANY,Exit,5
ALBANY,Exeunt,4
ALBANY,I,4
ALBANY,If,4
ALBANY,Most,3
ALBANY,SCENE,3
ALBANY,Sir,3
ALBANY,Speak,3
ALBANY,That,3
ALBANY,This,3
ALBANY,Thou,3
ALBANY,With,3
ALBANY,You,3
ALBANY,For,2
ALBANY,He,2
ALBANY,How,2
ALBANY,Ill,2
ALBANY,It,2
ALBANY,My,2
ALBANY,Not,2
ALBANY,O,2
ALBANY,Reenter,2
ALBANY,Shall,2
ALBANY,She,2
ALBANY,So,2
ALBANY,Stay,2
ALBANY,Thy,2
ALBANY,We,2
ALBANY,Well,2
ALBANY,What,2
ALBANY,Where,2
ALBANY,Which,2
ALCIBIADES,And,10
ALCIBIADES,I,10
ALCIBIADES,My,7
ALCIBIADES,But,6
ALCIBIADES,If,4
ALCIBIADES,It,4
ALCIBIADES,That,4
ALCIBIADES,The,4
ALCIBIADES,To,4
ALCIBIADES,What,4
ALCIBIADES,Why,4
ALCIBIADES,As,3
ALCIBIADES,He,3
ALCIBIADES,How,3
ALCIBIADES,In,3
ALCIBIADES,With,3
ALCIBIADES,At,2
ALCIBIADES,Ay,2
ALCIBIADES,Banish,2
ALCIBIADES,Descend,2
ALCIBIADES,Enter,2
ALCIBIADES,For,2
ALCIBIADES,Here,2
ALCIBIADES,Is,2
ALCIBIADES,Of,2
ALCIBIADES,Our,2
ALCIBIADES,SCENE,2
ALCIBIADES,Shall,2
ALCIBIADES,Though,2
ALCIBIADES,When,2
ALONSO,I,9
ALONSO,The,6
